,date,Home_Team,Score,Away_Team
330,30-09-2023,Salernitana,0 - 4,Inter
331,08-10-2023,Monza,3 - 0,Salernitana
332,22-10-2023,Salernitana,2 - 2,Cagliari
333,27-10-2023,Genoa,1 - 0,Salernitana
334,04-11-2023,Salernitana,0 - 2,Napoli
335,10-11-2023,Sassuolo,2 - 2,Salernitana
336,25-11-2023,Salernitana,2 - 1,Lazio
337,03-12-2023,Fiorentina,3 - 0,Salernitana
338,10-12-2023,Salernitana,1 - 2,Bologna
339,18-12-2023,Atalanta,4 - 1,Salernitana
340,22-12-2023,Salernitana,2 - 2,Milan
341,30-12-2023,Verona,0 - 1,Salernitana
342,07-01-2024,Salernitana,1 - 2,Juventus
343,13-01-2024,Napoli,2 - 1,Salernitana
344,21-01-2024,Salernitana,1 - 2,Genoa
345,29-01-2024,Salernitana,? - ?,Roma
346,20-08-2023,Sassuolo,0 - 2,Atalanta
347,27-08-2023,Napoli,2 - 0,Sassuolo
348,01-09-2023,Sassuolo,3 - 1,Verona
349,17-09-2023,Frosinone,4 - 2,Sassuolo
350,23-09-2023,Sassuolo,4 - 2,Juventus
351,27-09-2023,Inter,1 - 2,Sassuolo
352,02-10-2023,Sassuolo,0 - 1,Monza
353,06-10-2023,Lecce,1 - 1,Sassuolo
354,21-10-2023,Sassuolo,0 - 2,Lazio
355,28-10-2023,Sassuolo,1 - 1,Bologna
356,06-11-2023,Torino,2 - 1,Sassuolo
357,10-11-2023,Sassuolo,2 - 2,Salernitana
358,26-11-2023,Empoli,3 - 4,Sassuolo
359,03-12-2023,Sassuolo,1 - 2,Roma
360,11-12-2023,Cagliari,2 - 1,Sassuolo
361,17-12-2023,Udinese,2 - 2,Sassuolo
362,22-12-2023,Sassuolo,1 - 2,Genoa
363,30-12-2023,Milan,1 - 0,Sassuolo
364,06-01-2024,Sassuolo,1 - 0,Fiorentina
365,16-01-2024,Juventus,3 - 0,Sassuolo
366,28-01-2024,Monza,? - ?,Sassuolo
367,21-08-2023,Torino,0 - 0,Cagliari
368,26-08-2023,Milan,4 - 1,Torino
369,03-09-2023,Torino,1 - 0,Genoa
370,18-09-2023,Salernitana,0 - 3,Torino
371,24-09-2023,Torino,1 - 1,Roma
372,27-09-2023,Lazio,2 - 0,Torino
373,02-10-2023,Torino,0 - 0,Verona
374,07-10-2023,Juventus,2 - 0,Torino
375,21-10-2023,Torino,0 - 3,Inter
376,28-10-2023,Lecce,0 - 1,Torino
377,06-11-2023,Torino,2 - 1,Sassuolo
378,11-11-2023,Monza,1 - 1,Torino
379,27-11-2023,Bologna,2 - 0,Torino
380,04-12-2023,Torino,3 - 0,Atalanta
381,10-12-2023,Frosinone,0 - 0,Torino
382,16-12-2023,Torino,1 - 0,Empoli
383,23-12-2023,Torino,1 - 1,Udinese
384,29-12-2023,Fiorentina,1 - 0,Torino
385,07-01-2024,Torino,3 - 0,Napoli
386,13-01-2024,Genoa,0 - 0,Torino
387,26-01-2024,Cagliari,? - ?,Torino
388,20-08-2023,Udinese,0 - 3,Juventus
389,28-08-2023,Salernitana,1 - 1,Udinese
390,02-09-2023,Udinese,0 - 0,Frosinone
391,17-09-2023,Cagliari,0 - 0,Udinese
392,24-09-2023,Udinese,0 - 2,Fiorentina
393,27-09-2023,Napoli,4 - 1,Udinese
394,01-10-2023,Udinese,2 - 2,Genoa
395,06-10-2023,Empoli,0 - 0,Udinese
396,23-10-2023,Udinese,1 - 1,Lecce
397,29-10-2023,Monza,1 - 1,Udinese
398,04-11-2023,Milan,0 - 1,Udinese
399,12-11-2023,Udinese,1 - 1,Atalanta
400,26-11-2023,Roma,3 - 1,Udinese
401,03-12-2023,Udinese,3 - 3,Verona
402,09-12-2023,Inter,4 - 0,Udinese
403,17-12-2023,Udinese,2 - 2,Sassuolo
404,23-12-2023,Torino,1 - 1,Udinese
405,30-12-2023,Udinese,3 - 0,Bologna
406,07-01-2024,Udinese,1 - 2,Lazio
407,14-01-2024,Fiorentina,2 - 2,Udinese
408,20-01-2024,Udinese,2 - 3,Milan
409,27-01-2024,Atalanta,? - ?,Udinese
410,19-08-2023,Empoli,0 - 1,Verona
411,26-08-2023,Verona,2 - 1,Roma
412,01-09-2023,Sassuolo,3 - 1,Verona
413,18-09-2023,Verona,0 - 0,Bologna
414,23-09-2023,Milan,1 - 0,Verona
415,27-09-2023,Verona,0 - 1,Atalanta
416,02-10-2023,Torino,0 - 0,Verona
417,08-10-2023,Frosinone,2 - 1,Verona
418,21-10-2023,Verona,1 - 3,Napoli
419,28-10-2023,Juventus,1 - 0,Verona
420,05-11-2023,Verona,1 - 3,Monza
421,10-11-2023,Genoa,1 - 0,Verona
422,27-11-2023,Verona,2 - 2,Lecce
423,03-12-2023,Udinese,3 - 3,Verona
424,09-12-2023,Verona,1 - 1,Lazio
425,17-12-2023,Fiorentina,1 - 0,Verona
426,23-12-2023,Verona,2 - 0,Cagliari
427,30-12-2023,Verona,0 - 1,Salernitana
428,06-01-2024,Inter,2 - 1,Verona
429,13-01-2024,Verona,2 - 1,Empoli
430,20-01-2024,Roma,2 - 1,Verona
431,28-01-2024,Verona,? - ?,Frosinone
